ticker,shares,live_price,currency,mkt_val,note,snapshot_dt
AMD,20.2915,,USD,,large-cap tech,2026-04-29T07:06:46Z
GOOGL,11.641,,USD,,large-cap tech,2026-04-29T07:06:46Z
ZETA,200.378,,USD,,mid-cap MarTech,2026-04-29T07:06:46Z
OSCR,178.9193,,USD,,mid-cap health-tech,2026-04-29T07:06:46Z
HIMS,108.7022,,USD,,mid-cap telehealth,2026-04-29T07:06:46Z
AMZN,11.4169,,USD,,large-cap tech/retail,2026-04-29T07:06:46Z
ASTS,30.0032,,USD,,small-cap space,2026-04-29T07:06:46Z
SOFI,112.6557,,USD,,fintech,2026-04-29T07:06:46Z
ADUR,130.0497,,USD,,micro-cap (CAD),2026-04-29T07:06:46Z
TE,259.736,,USD,,small-cap telecom,2026-04-29T07:06:46Z
NFLX,12.0,,USD,,large-cap streaming,2026-04-29T07:06:46Z
ONDS,104.524,,USD,,micro-cap,2026-04-29T07:06:46Z
UBER,14.4919,,USD,,large-cap mobility,2026-04-29T07:06:46Z
NVO,25.0,,USD,,large-cap pharma,2026-04-29T07:06:46Z
KRKNF,153.3175,,USD,,pink-sheet,2026-04-29T07:06:46Z
A6I,220.0,,USD,,frankfurt-listed,2026-04-29T07:06:46Z
ABCL,200.0529,,USD,,biotech,2026-04-29T07:06:46Z
RDW,0.0,,USD,,space infra — planned 1%,2026-04-29T07:06:46Z
OUST,0.0,,USD,,lidar — planned 1%,2026-04-29T07:06:46Z
SMR,0.0,,USD,,SMR nuclear — planned 1%,2026-04-29T07:06:46Z
ELF,0.0,,USD,,beauty — planned 1%,2026-04-29T07:06:46Z
_TOTAL_,,,,0.0,sum,2026-04-29T07:06:46Z
AMD,20.2915,,USD,,large-cap tech,2026-04-29T07:08:27Z
GOOGL,11.641,,USD,,large-cap tech,2026-04-29T07:08:27Z
ZETA,200.378,,USD,,mid-cap MarTech,2026-04-29T07:08:27Z
OSCR,178.9193,,USD,,mid-cap health-tech,2026-04-29T07:08:27Z
HIMS,108.7022,,USD,,mid-cap telehealth,2026-04-29T07:08:27Z
AMZN,11.4169,,USD,,large-cap tech/retail,2026-04-29T07:08:27Z
ASTS,30.0032,,USD,,small-cap space,2026-04-29T07:08:27Z
SOFI,112.6557,,USD,,fintech,2026-04-29T07:08:27Z
ADUR,130.0497,,USD,,micro-cap (CAD),2026-04-29T07:08:27Z
TE,259.736,,USD,,small-cap telecom,2026-04-29T07:08:27Z
NFLX,12.0,,USD,,large-cap streaming,2026-04-29T07:08:27Z
ONDS,104.524,,USD,,micro-cap,2026-04-29T07:08:27Z
UBER,14.4919,,USD,,large-cap mobility,2026-04-29T07:08:27Z
NVO,25.0,,USD,,large-cap pharma,2026-04-29T07:08:27Z
KRKNF,153.3175,,USD,,pink-sheet,2026-04-29T07:08:27Z
A6I,220.0,,USD,,frankfurt-listed,2026-04-29T07:08:27Z
ABCL,200.0529,,USD,,biotech,2026-04-29T07:08:27Z
RDW,0.0,,USD,,space infra — planned 1%,2026-04-29T07:08:27Z
OUST,0.0,,USD,,lidar — planned 1%,2026-04-29T07:08:27Z
SMR,0.0,,USD,,SMR nuclear — planned 1%,2026-04-29T07:08:27Z
ELF,0.0,,USD,,beauty — planned 1%,2026-04-29T07:08:27Z
_TOTAL_,,,,0.0,sum of all positions,2026-04-29T07:08:27Z
AMD,20.2915,329.54,USD,6686.86,large-cap tech,2026-04-29T07:09:00Z
GOOGL,11.641,350.96,USD,4085.53,large-cap tech,2026-04-29T07:09:00Z
ZETA,200.378,18.33,USD,3672.93,mid-cap MarTech,2026-04-29T07:09:00Z
OSCR,178.9193,17.97,USD,3215.18,mid-cap health-tech,2026-04-29T07:09:00Z
HIMS,108.7022,28.13,USD,3057.79,mid-cap telehealth,2026-04-29T07:09:00Z
AMZN,11.4169,260.77,USD,2977.19,large-cap tech/retail,2026-04-29T07:09:00Z
ASTS,30.0032,72.73,USD,2182.13,small-cap space,2026-04-29T07:09:00Z
SOFI,112.6557,18.51,USD,2085.26,fintech,2026-04-29T07:09:00Z
ADUR,130.0497,11.97,USD,1556.69,micro-cap (CAD),2026-04-29T07:09:00Z
TE,259.736,5.0,USD,1298.68,small-cap telecom,2026-04-29T07:09:00Z
NFLX,12.0,92.08,USD,1104.96,large-cap streaming,2026-04-29T07:09:00Z
ONDS,104.524,10.53,USD,1100.64,micro-cap,2026-04-29T07:09:00Z
UBER,14.4919,74.35,USD,1077.47,large-cap mobility,2026-04-29T07:09:00Z
NVO,25.0,41.2,USD,1030.0,large-cap pharma,2026-04-29T07:09:00Z
KRKNF,153.3175,5.67,USD,869.31,pink-sheet,2026-04-29T07:09:00Z
A6I,220.0,3.285,USD,722.7,frankfurt-listed,2026-04-29T07:09:00Z
ABCL,200.0529,4.22,USD,844.22,biotech,2026-04-29T07:09:00Z
RDW,0.0,0.0,USD,,space infra — planned 1%,2026-04-29T07:09:00Z
OUST,0.0,0.0,USD,,lidar — planned 1%,2026-04-29T07:09:00Z
SMR,0.0,0.0,USD,,SMR nuclear — planned 1%,2026-04-29T07:09:00Z
ELF,0.0,0.0,USD,,beauty — planned 1%,2026-04-29T07:09:00Z
_TOTAL_,,,,37567.54,sum of all positions,2026-04-29T07:09:00Z
AMD,20.2915,329.54,USD,6686.86,large-cap tech,2026-04-29T07:11:14Z
GOOGL,11.641,350.96,USD,4085.53,large-cap tech,2026-04-29T07:11:14Z
ZETA,200.378,18.33,USD,3672.93,mid-cap MarTech,2026-04-29T07:11:14Z
OSCR,178.9193,17.97,USD,3215.18,mid-cap health-tech,2026-04-29T07:11:14Z
HIMS,108.7022,28.13,USD,3057.79,mid-cap telehealth,2026-04-29T07:11:14Z
AMZN,11.4169,260.77,USD,2977.19,large-cap tech/retail,2026-04-29T07:11:14Z
ASTS,30.0032,72.73,USD,2182.13,small-cap space,2026-04-29T07:11:14Z
SOFI,112.6557,18.51,USD,2085.26,fintech,2026-04-29T07:11:14Z
ADUR,130.0497,11.97,USD,1556.69,micro-cap (CAD),2026-04-29T07:11:14Z
TE,259.736,5.0,USD,1298.68,small-cap telecom,2026-04-29T07:11:14Z
NFLX,12.0,92.08,USD,1104.96,large-cap streaming,2026-04-29T07:11:14Z
ONDS,104.524,10.53,USD,1100.64,micro-cap,2026-04-29T07:11:14Z
UBER,14.4919,74.35,USD,1077.47,large-cap mobility,2026-04-29T07:11:14Z
NVO,25.0,41.2,USD,1030.0,large-cap pharma,2026-04-29T07:11:14Z
KRKNF,153.3175,5.67,USD,869.31,pink-sheet,2026-04-29T07:11:14Z
A6I,220.0,3.285,USD,722.7,frankfurt-listed,2026-04-29T07:11:14Z
ABCL,200.0529,4.22,USD,844.22,biotech,2026-04-29T07:11:14Z
RDW,0.0,0.0,USD,,space infra — planned 1%,2026-04-29T07:11:14Z
OUST,0.0,0.0,USD,,lidar — planned 1%,2026-04-29T07:11:14Z
SMR,0.0,0.0,USD,,SMR nuclear — planned 1%,2026-04-29T07:11:14Z
ELF,0.0,0.0,USD,,beauty — planned 1%,2026-04-29T07:11:14Z
_TOTAL_,,,,37567.54,sum of all positions,2026-04-29T07:11:14Z
AIDR,72.0,0.40,USD,28.80,micro-cap (CAD),2026-04-26T09:11:20.369981Z
AIDR,72.0,0.50,USD,36.00,micro-cap (CAD),2026-04-29T09:11:20.369981ZAMD,20.2915,337.11,USD,6840.47,large-cap tech,2026-04-30T07:21:47Z
GOOGL,11.641,349.94,USD,4073.65,large-cap tech,2026-04-30T07:21:47Z
ZETA,200.378,17.81,USD,3568.73,mid-cap MarTech,2026-04-30T07:21:47Z
OSCR,178.9193,17.93,USD,3208.02,mid-cap health-tech,2026-04-30T07:21:47Z
HIMS,109.5708,26.33,USD,2885.0,mid-cap telehealth,2026-04-30T07:21:47Z
AMZN,11.4169,263.04,USD,3003.1,large-cap tech/retail,2026-04-30T07:21:47Z
ASTS,30.0032,69.85,USD,2095.72,small-cap space,2026-04-30T07:21:47Z
SOFI,112.6557,15.525,USD,1748.98,fintech,2026-04-30T07:21:47Z
ADUR,130.0497,11.77,USD,1530.68,micro-cap (CAD),2026-04-30T07:21:47Z
TE,259.736,4.89,USD,1270.11,small-cap telecom,2026-04-30T07:21:47Z
NFLX,12.0,92.12,USD,1105.44,large-cap streaming,2026-04-30T07:21:47Z
ONDS,104.524,9.49,USD,991.93,micro-cap,2026-04-30T07:21:47Z
UBER,14.4919,74.47,USD,1079.21,large-cap mobility,2026-04-30T07:21:47Z
NVO,25.0,40.29,USD,1007.25,large-cap pharma,2026-04-30T07:21:47Z
KRKNF,153.3175,5.565,USD,853.21,pink-sheet,2026-04-30T07:21:47Z
A6I,220.0,3.285,USD,722.7,frankfurt-listed,2026-04-30T07:21:47Z
ABCL,231.534,3.82,USD,884.46,biotech,2026-04-30T07:21:47Z
CELH,8.3949,32.66,USD,274.18,speculative — new position,2026-04-30T07:21:47Z
RDW,17.107,8.6,USD,147.12,space infra — active position,2026-04-30T07:21:47Z
OUST,0.0,0.0,USD,,lidar — planned 1%,2026-04-30T07:21:47Z
SMR,0.0,0.0,USD,,SMR nuclear — planned 1%,2026-04-30T07:21:47Z
ELF,0.0,0.0,USD,,beauty — planned 1%,2026-04-30T07:21:47Z
_TOTAL_,,,,37289.96,sum of all positions,2026-04-30T07:21:47Z
